epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.791790928767652,38.764,1.659829331349723,45.66,0.1
2,1.5227294466933425,53.302,1.5173741277260115,53.33,0.09999383162408304
3,1.4006972239941966,59.36,1.4450389810755282,56.02,0.09997532801828658
4,1.3260952617440904,63.052,1.5175155039075054,55.91,0.09994449374809851
5,1.2616457191048835,66.31,1.406166223031056,60.54,0.09990133642141359
6,1.2198797993514003,68.608,1.3290085309668431,63.81,0.09984586668665642
7,1.172238604146607,70.824,1.5371750034863436,58.08,0.09977809823015402
8,1.1462138991574853,72.048,1.2342947389506087,67.85,0.09969804777275901
9,1.1136933720233488,74.012,1.2582464761371854,66.84,0.09960573506572391
10,1.0996687424426177,74.488,1.215338196935533,69.28,0.09950118288582789
11,1.0794675280244983,75.512,1.2457772870607013,67.93,0.09938441702975691
12,1.0739003970306746,75.824,1.1541714668273926,71.13,0.09925546630773871
13,1.0660616351025445,76.298,1.2150383689735509,68.63,0.09911436253643445
14,1.059742774282183,76.73,1.1504410535474368,72.37,0.0989611405310883
15,1.0583860250760098,76.942,1.1892993284177176,70.67,0.09879583809693739
16,1.0650388312583068,76.824,1.2229522300671927,69.06,0.09861849601988384
17,1.068706453758843,76.772,1.1460228954689413,73.04,0.09842915805643157
18,1.078171858982164,76.456,1.1457374503340902,73.31,0.09822787092288993
19,1.083436017437857,76.526,1.240696378901035,67.84,0.09801468428384717
20,1.09378795721093,76.07,1.1803264361393602,71.52,0.09778965073991652
21,1.1047244969071175,75.802,1.1951146684115446,72.23,0.0975528258147577
22,1.1217329496023607,75.484,1.201920960522905,72.36,0.09730426794137728
23,1.1250683501058696,75.398,1.1825301103954073,72.06,0.09704403844771128
24,1.1382725780107537,75.234,1.2392630682715886,69.0,0.09677220154149338
25,1.142897596772836,74.916,1.340980710862558,65.43,0.09648882429441258
26,1.156704109542224,74.332,1.2450303065625927,67.89,0.09619397662556435
27,1.1615260152184232,74.42,1.2496538086782527,67.82,0.09588773128419906
28,1.1667197121649373,74.072,1.2194703938085822,70.65,0.09557016383177226
29,1.1692975601371454,74.132,1.2073150692106802,70.14,0.09524135262330098
30,1.1766795217990875,73.818,1.2147676990002017,69.81,0.09490137878803079
31,1.1787285476314777,73.974,1.2022474144078508,72.02,0.0945503262094184
32,1.1699430687086922,74.124,1.2487302867672112,70.58,0.0941882815044347
33,1.1714781011853899,74.192,1.1704920801935317,72.9,0.09381533400219319
34,1.1718788542309586,73.974,1.2596680122085764,68.82,0.09343157572190958
35,1.175910657765914,73.776,1.212497124189063,70.23,0.0930371013501972
36,1.1747950777715566,73.63,1.2309898243674748,70.54,0.09263200821770463
37,1.169254259187348,73.66,1.1944049921216844,70.29,0.09221639627510078
38,1.1681290201994838,73.956,1.2748558687258371,68.23,0.09179036806841355
39,1.1636266653635063,74.004,1.1437314665770228,73.36,0.09135402871372812
40,1.1552666188502798,74.372,1.3071362610104718,65.55,0.0909074858712512
