epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7578109995442994,40.498,1.614229301863079,50.39,0.09
2,1.3928876184687322,59.776,1.4089160795453228,60.03,0.08999444846167472
3,1.2245010709276005,67.932,1.4003553028348126,61.78,0.0899777952164579
4,1.1215272819509312,72.812,1.2880200057090083,67.36,0.08995004437328864
5,1.0370996223420512,76.806,1.2408697952198078,68.74,0.08991120277927221
6,0.9809555237998768,79.522,1.174248906630504,70.51,0.08986128001799075
7,0.9353671697329502,81.632,1.155426233629637,73.38,0.08980028840713859
8,0.9052919453504135,82.822,1.1630347808705102,71.18,0.08972824299548308
9,0.8747569517213472,84.352,1.260991031610513,67.67,0.0896451615591515
10,0.8499208591422256,85.278,1.0466159001181397,76.53,0.08955106459724509
11,0.8306482656269657,86.044,0.9353621368166767,81.37,0.0894459753267812
12,0.8138682763187253,86.942,1.0269929910007911,78.65,0.08932991967696483
13,0.8028447235725364,87.378,1.0574317136897315,76.09,0.08920292628279099
14,0.7896437024583622,87.824,1.0065454237068756,77.24,0.08906502647797945
15,0.7815738147010609,88.228,0.9823727849163587,79.41,0.08891625428724363
16,0.7729716641562325,88.506,1.0456660759599903,76.99,0.08875664641789544
17,0.7701468808310372,88.698,0.9699391269985633,80.03,0.08858624225078839
18,0.7645024836671596,88.972,1.0952154646945904,75.1,0.0884050838306009
19,0.7622837108008715,89.092,0.9155059562453741,82.66,0.08821321585546243
20,0.7517006296892556,89.538,1.005589095097554,77.64,0.08801068566592485
21,0.7487496751911786,89.83,1.0027025047736833,78.25,0.08779754323328191
22,0.7442202057157244,90.016,0.9630966699576076,80.75,0.08757384114723954
23,0.7461392663571299,90.0,0.8812053535558,84.1,0.08733963460294014
24,0.7412974411735729,90.192,0.8858571595783475,83.12,0.08709498138734403
25,0.7357695738271791,90.518,0.8936534078815316,83.53,0.0868399418649713
26,0.736864257223752,90.566,0.9165915462035167,82.26,0.0865745789630079
27,0.7346550727985344,90.578,0.9739216362373738,79.62,0.08629895815577913
28,0.7276710971277587,90.886,1.0222422850282886,78.01,0.08601314744859502
29,0.7253082120905117,91.118,0.8997893393794193,82.78,0.08571721736097086
30,0.7230041373749169,91.148,0.8385033184968973,85.76,0.08541124090922768
31,0.7201797445209659,91.292,0.9515575842012333,80.65,0.08509529358847653
32,0.7169354363363616,91.428,0.8862944479230084,83.92,0.08476945335399119
33,0.7147309959542995,91.594,0.9134627957887287,82.54,0.08443380060197384
34,0.7141064876804546,91.662,0.9553686697271806,80.89,0.08408841814971858
35,0.7060758705650058,91.95,0.8340301581575901,85.97,0.08373339121517744
36,0.7112213969230652,91.628,0.9063125750686549,82.33,0.08336880739593412
37,0.7088634532933332,91.906,0.9894186333764957,79.04,0.08299475664759065
38,0.7023010104894638,92.238,0.9594179323956936,80.45,0.08261133126157214
39,0.7036490963429821,92.15,0.9547161324114739,80.71,0.08221862584235524
40,0.7003812315512676,92.292,0.8204236996324756,86.66,0.08181673728412601
41,0.6999760233626073,92.388,0.8541373942471757,85.35,0.0814057647468726
42,0.6990671054441102,92.366,0.833581675457049,86.14,0.08098580963191905
43,0.6981634208742453,92.508,0.8461716733401334,85.38,0.08055697555690602
44,0.6960690517206581,92.646,0.8711259832865075,84.2,0.0801193683302248
45,0.6941851097710279,92.664,0.9523724249646633,81.1,0.07967309592491048
46,0.6934239833938832,92.67,0.8543260406844223,84.9,0.07921826845200136
47,0.6947995253971645,92.588,0.9142447362972211,82.35,0.07875499813337065
48,0.6900698624703349,92.84,0.9986058118977125,78.87,0.0782833992740374
49,0.6878517698876712,93.006,0.9619812799405448,80.84,0.07780358823396348
50,0.6854989586436019,93.046,0.8426448898979381,85.86,0.07731568339934346
51,0.6845824642449009,93.062,0.9040732602529888,83.65,0.0768198051533946
52,0.6803910391671317,93.29,0.841393526596359,85.46,0.07631607584665409
53,0.6783139872915891,93.316,0.8126467986951901,87.1,0.07580461976679094
54,0.6746549697554841,93.586,0.9371671736994877,82.03,0.07528556310793974
55,0.6770888703818224,93.364,0.9163408890555177,82.98,0.07475903393956428
56,0.6753220141542201,93.444,0.9367428791673877,81.96,0.07422516217485821
57,0.6760464663408241,93.542,0.8892905387697341,83.99,0.07368407953869098
58,0.6723721824130233,93.54,0.8826374570025673,84.35,0.07313591953510669
59,0.6728659658407679,93.478,0.8354791033117077,86.26,0.0725808174143839
60,0.6692084423741516,93.812,0.8966187759290768,83.33,0.07201891013966473
61,0.6692254275691752,93.748,0.8936288620852217,83.94,0.07145033635316124
62,0.6650905998385682,93.884,0.7987247697914703,87.81,0.07087523634194748
63,0.6624015530153197,94.156,0.8516257684442061,86.03,0.07029375200334582
64,0.6647676031808464,93.984,0.9262205347230162,82.63,0.06970602680991587
65,0.6627113989421299,94.03,0.8476193268087846,85.74,0.06911220577405479
66,0.6576653922698936,94.354,0.7627251864988592,89.22,0.06851243541221765
67,0.6568359160909847,94.26,0.8199454855315292,87.21,0.06790686370876665
68,0.6606125332871262,94.17,0.7982807242417638,87.99,0.06729564007945829
69,0.6566829173540583,94.446,0.7967261045793944,88.1,0.06667891533457714
70,0.6546468375896921,94.456,0.8446308381949799,86.07,0.06605684164172576
71,0.6509793756567702,94.586,0.8301463700548003,86.75,0.06542957248827956
72,0.6514090895652771,94.514,0.754969865460939,89.45,0.06479726264351612
73,0.6478301256286855,94.7,0.8158266076558753,86.88,0.06416006812042822
74,0.6466780575562496,94.79,0.8705778733084474,84.58,0.06351814613722985
75,0.6436458896009289,94.88,0.8065343974511835,87.64,0.06287165507856507
76,0.6451825605971473,94.876,0.7836364402046686,88.46,0.062220754456428995
77,0.6401559956827942,95.04,0.7850815940506851,88.51,0.06156560487081047
78,0.6438654095542674,94.944,0.789709482766405,88.45,0.06090636797006652
79,0.6444696933031082,94.914,0.8080134927471981,87.54,0.06024320641103807
80,0.6390722761957013,95.07,0.8013219146788875,87.66,0.05957628381891668
81,0.6340000258416546,95.296,0.7615912828264357,89.33,0.058905764746872584
82,0.634944753379238,95.238,0.7993809603437593,87.61,0.058231814635453634
83,0.634494774499718,95.37,0.8587279749822013,85.59,0.057554599771765275
84,0.631471394884343,95.408,0.8000069849098785,87.65,0.05687428724844173
85,0.6308850545664223,95.386,0.7495160774339603,90.14,0.056191044922418415
86,0.6317761957037206,95.346,0.818772701522972,87.44,0.05550504137351571
87,0.6263904261345766,95.736,0.8619630200953423,85.63,0.054816445862844385
88,0.6246887494106682,95.738,0.8875402385675455,83.93,0.05412542829104303
89,0.6237540673844668,95.832,0.8591855107983456,85.51,0.053432159156357587
90,0.6218738610647163,95.904,0.8025192701363866,87.69,0.052736809512573396
91,0.6199470259705369,96.018,0.7728234710572641,88.88,0.05203955092681036
92,0.6178999962855358,96.046,0.864998222151889,85.52,0.051340555437191196
93,0.6196315945411215,95.954,0.7387183791474451,90.45,0.05063999551039367
94,0.6137573944062603,96.276,0.7742419356032263,89.02,0.049938043999097015
95,0.6127835968319251,96.26,0.7919090352480924,88.5,0.04923487409933312
96,0.6136288004262107,96.23,0.8533214662648454,86.43,0.048530659307753
97,0.6103125515640998,96.378,0.7772613575186911,89.01,0.04782557337881908
98,0.6079192745442293,96.448,0.7385899054853222,90.36,0.047119790281933895
99,0.6055708919860878,96.612,0.7556834386873849,89.5,0.04641348415851575
100,0.6040181429410467,96.714,0.7989155476606344,88.38,0.045706829279031906
101,0.6048787090243125,96.622,0.8653548457954503,85.57,0.04499999999999997
102,0.602109608905656,96.824,0.8175810160516184,87.31,0.04429317072096805
103,0.6033676290998653,96.762,0.7471955750561967,90.15,0.0435865158414842
104,0.6016672402620316,96.804,0.773665466640569,88.88,0.04288020971806606
105,0.6011387270932295,96.868,0.7544033391566216,89.93,0.04217442662118088
106,0.5962545646696674,97.042,0.7906084437913532,88.8,0.04146934069224697
107,0.5939233862623876,97.206,0.7881345816805393,88.82,0.04076512590066684
108,0.5931083304541451,97.168,0.8179794323595264,87.5,0.04006195600090295
109,0.5910720192656225,97.274,0.7577304281765902,89.63,0.0393600044896063
110,0.5903569353478295,97.266,0.7455408278899857,90.51,0.03865944456280878
111,0.589844927799945,97.348,0.7572094111502925,89.82,0.0379604490731896
